BRANCH|NODE|TYPE
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/SUBMCD/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/TABBLOCK/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/TBG/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/TRACT/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/TTRACT/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/UAC/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/UNSD/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/|https://www2.census.gov/geo/tiger/TIGER2014/ZCTA5/|BRANCH
https://www2.census.gov/geo/tiger/TIGER2014/AIANNH/|https://www2.census.gov/geo/tiger/TIGER2014/AIANNH/tl_2014_us_aiannh.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_01_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_02_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_04_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_05_bg.zip|LEAF
https://www2.census.gov/geo/tiger/TIGER2014/BG/|https://www2.census.gov/geo/tiger/TIGER2014/BG/tl_2014_06_bg.zip|LEAF
